timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1626903137119,27,SelectMonth,200,"Number of samples in transaction : 2, number of failing samples : 0",Editor 1-1,,true,,11288,5692,2,2,null,27,602,0
1626903137729,0,SelectPredefinedDate,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,0,301,0
1626903137748,0,SelectPredefinedDate,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,0,301,0
1626903138030,0,OpenRandomPost,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,0,301,0
1626903138049,0,OpenRandomPost,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,0,301,0
1626903138932,4,1/api/posts/9ed63028-d56a-471e-aa34-0f6540c99f7c-121,200,OK,Editor 1-2,text,true,,743,1244,2,2,http://192.168.56.101/api/posts/49301e10-8f3b-4d69-9c92-f62b08a6b0c0,4,0,0
1626903138951,4,1/api/posts/9ed63028-d56a-471e-aa34-0f6540c99f7c-121,200,OK,Editor 1-1,text,true,,717,1244,2,2,http://192.168.56.101/api/posts/0c4f91bd-06a9-4a55-b8b3-463921d6d001,4,0,0
1626903139237,5,1/api/customfields-123,200,OK,Editor 1-2,text,true,,231,1316,2,2,http://192.168.56.101/api/customfields?filter=CustomType+%3D%3D+%22POST%22+%26%26+ObjectId+%3D%3D+%2249301e10-8f3b-4d69-9c92-f62b08a6b0c0%22,5,0,0
1626903139256,3,1/api/customfields-123,200,OK,Editor 1-1,text,true,,231,1316,2,2,http://192.168.56.101/api/customfields?filter=CustomType+%3D%3D+%22POST%22+%26%26+ObjectId+%3D%3D+%220c4f91bd-06a9-4a55-b8b3-463921d6d001%22,3,0,0
1626903139543,4,1/api/customfields-122,200,OK,Editor 1-2,text,true,,231,1253,2,2,http://192.168.56.101/api/customfields?filter=CustomType+%3D%3D+%22PROFILE%22,4,0,0
1626903138331,13,ClickEdit,200,"Number of samples in transaction : 4, number of failing samples : 0",Editor 1-2,,true,,1205,3813,2,2,null,13,1203,0
